,Sentence,Comparison,Score
0,"In connection with an alleged plot to attack the World Cup in Russia, five young men from Chechnya were arrested and charged with terrorism offenses. They were sentenced to five years and eight years in prison on July 5, 2017.","['On July 2, 2017, five young men from Chechnya were arrested and charged with terrorism offenses in connection with an alleged plot to stage the World Cup in Russia.']",neutral
1,"In connection with an alleged plot to attack the World Cup in Russia, five young men from Chechnya were arrested and charged with terrorism offenses. They were sentenced to five years and eight years in prison on July 5, 2017.","['Five young men from Chechnya were arrested and charged with terrorism offenses in connection with an attack on the World Cup in Russia. They were sentenced to five years and eight years in prison on July 5, 1661.']",neutral
2,"On June 26, 2017, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 2017, and appealed the verdict, but the Supreme Court of Russia deemed their conviction unjustified. However, the European Court for Human Rights rejected their appeal in October 2017.","['The Supreme Court of Russia deemed the conviction of five young men from Chechnya for terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia on June 16, 2017, unjustified, and their appeal was rejected by the European Court for Human Rights in October 2017.']",neutral
3,"On June 26, 2017, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 2017, and appealed the verdict, but the Supreme Court of Russia deemed their conviction unjustified. However, the European Court for Human Rights rejected their appeal in October 2017.","['Five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 1870, for allegedly conspiring to attack the World Cup in Russia. They were sentenced to prison on July 5, 1880, and appealed the verdict, but the Supreme Court of Russia found them unjustified. However, their appeal was rejected by the European Court for Human Rights in October 1869.']",neutral
4,"On June 26, 2017, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 2017, and appealed the verdict, but the Supreme Court of Russia deemed their conviction unjustified. However, the European Court for Human Rights rejected their appeal in October 2017.","['The Supreme Court of Russia deemed the conviction of five young men from Chechnya for terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia on June 26, 2017, unjustified, and their appeal was rejected by the European Court for Human Rights in October 2017.']",neutral
5,"On June 26, 2017, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 2017, and appealed the verdict, but the Supreme Court of Russia deemed their conviction unjustified. However, the European Court for Human Rights rejected their appeal in October 2017.","['On June 26, 1501, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 1501; their appeal was rejected by the Supreme Court of Russia, which found them not guilty. However, their plea was denied by European Court Human Rights in October 1501.']",neutral
6,"On June 26, 2017, five young men from Chechnya were arrested and charged with terrorism offenses related to an alleged conspiracy to attack the World Cup in Russia. They were sentenced to prison on July 5, 2017, and appealed the verdict, but the Supreme Court of Russia deemed their conviction unjustified. However, the European Court for Human Rights rejected their appeal in October 2017.","['Five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 1663, for allegedly conspiring to attack the World Cup in Russia. They were sentenced to prison on July 5, 1664, and appealed the verdict, but the Supreme Court of Russia found them unjustified. However, their appeal was rejected by the European Court for Human Rights in October 1662.']",neutral
7,"Five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 2017, in connection with an alleged plot to attack the World Cup in Russia. They were sentenced to prison for five to eight years starting in August 2017.","['On June 21, 2017, five young men from Chechnya were arrested and charged with terrorism offenses in connection with an alleged plot to attack the World Cup in Russia. They were sentenced to five to eight years in prison, which was scheduled to begin in August 2017.']",neutral
8,"Five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 2017, in connection with an alleged plot to attack the World Cup in Russia. They were sentenced to prison for five to eight years starting in August 2017.","['On June 26, 1796, five young men from Chechnya were arrested and charged with terrorism offenses linked to an alleged plot to attack the World Cup in Russia. They were sentenced to five to eight years in prison starting in August 17 1996.']",neutral
9,"Five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 2017, in connection with an alleged plot to attack the World Cup in Russia. They were sentenced to prison for five to eight years starting in August 2017.","['In connection with an alleged plot to attack the World Cup in Russia, five young men from Chechnya were arrested and charged with terrorism offenses on June 26, 1915. They were sentenced to five to eight years in prison starting in August 19 2015.']",neutral
